epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9202,1.37946,1.28619,1.57126,0.70741,0.64189,0.7088,0.3748,1.65712,1.24013,1.84853,0.000661905,0.000661905,0.000661905
2,54.1279,1.40143,0.96186,1.54622,0.82491,0.80088,0.88157,0.49131,1.44548,0.93542,1.69017,0.00130227,0.00130227,0.00130227
3,80.2204,1.39162,0.92398,1.53589,0.74847,0.80531,0.81041,0.42668,1.53721,1.20751,1.8062,0.00191623,0.00191623,0.00191623
4,106.231,1.3269,0.85227,1.4889,0.84624,0.77928,0.8463,0.45354,1.51232,1.36154,1.73588,0.0018812,0.0018812,0.0018812
5,132.167,1.27533,0.78516,1.44491,0.96311,0.92409,0.95569,0.5895,1.30571,0.64728,1.57048,0.0018416,0.0018416,0.0018416
6,158.324,1.24992,0.75466,1.42755,0.95798,0.90796,0.93911,0.58239,1.32436,0.67698,1.5801,0.001802,0.001802,0.001802
7,184.334,1.21194,0.72062,1.40539,0.97996,0.92478,0.96144,0.62419,1.25271,0.62046,1.53201,0.0017624,0.0017624,0.0017624
8,210.565,1.1655,0.68033,1.37844,0.94988,0.93363,0.96811,0.6187,1.24592,0.60492,1.49738,0.0017228,0.0017228,0.0017228
9,236.786,1.18301,0.67215,1.3839,0.9716,0.90821,0.9715,0.65025,1.17884,0.55967,1.44702,0.0016832,0.0016832,0.0016832
10,262.947,1.13969,0.6439,1.35985,0.97629,0.9469,0.97925,0.62889,1.23552,0.53993,1.4863,0.0016436,0.0016436,0.0016436
11,288.932,1.12584,0.62616,1.35079,0.99022,0.93805,0.96988,0.65115,1.16145,0.50209,1.44913,0.001604,0.001604,0.001604
12,315.116,1.0838,0.59617,1.32602,0.96276,0.93805,0.97409,0.64193,1.16887,0.51796,1.44969,0.0015644,0.0015644,0.0015644
